City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Salalah,17.0151,54.0924,78.8,89,0,1.14,OM,1616357773
Puerto Escondido,15.85,-97.0667,86.0,70,1,5.75,MX,1616358182
Nome,64.5011,-165.4064,17.6,57,90,0.87,US,1616358108
Husavik,66.0449,-17.3389,46.4,57,40,19.57,IS,1616358031
Sechura,-5.5569,-80.8222,85.32,52,57,14.38,PE,1616358077
Bambanglipuro,-7.95,110.2833,77.43,86,95,3.94,ID,1616358411
Severnyy,50.677,36.5532,32.0,74,75,6.71,RU,1616358411
Franca,-20.5386,-47.4008,75.24,76,1,3.96,BR,1616358344
Mandalgovi,45.7625,106.2708,26.33,32,0,13.31,MN,1616358109
Kwang Binh,17.4833,106.6,67.71,93,100,18.57,VN,1616358412
Puerto Limón,10.0,-83.0333,80.6,74,75,12.66,CR,1616358412
Vao,-22.6667,167.4833,75.25,74,70,18.3,NC,1616357947
Plastun,44.7561,136.2939,29.43,91,100,4.56,RU,1616358413
Mariehamn,60.0973,19.9348,33.8,64,0,10.36,AX,1616358413
Chapais,49.7834,-74.8492,53.6,22,1,17.27,CA,1616358041
Tuatapere,-46.1333,167.6833,54.0,95,99,3.0,NZ,1616358414
Chokurdakh,70.6333,147.9167,-11.56,80,83,5.39,RU,1616357986
Port Blair,11.6667,92.75,78.78,72,0,4.25,IN,1616358415
Atkarsk,51.8718,45.0078,19.74,94,77,5.17,RU,1616358415
Lavrentiya,65.5833,-171.0,1.67,80,100,3.02,RU,1616358063
Nyurba,63.2842,118.3319,-25.17,96,77,5.84,RU,1616358416
Belmonte,-15.8631,-38.8828,82.4,74,75,3.44,BR,1616358416
Beringovskiy,63.05,179.3167,-2.47,87,92,7.0,RU,1616357954
Mayen,50.3333,7.2167,41.0,75,91,8.05,DE,1616358417
Ukiah,39.1502,-123.2078,60.8,39,1,3.44,US,1616358147
Kuching,1.55,110.3333,75.2,100,40,2.17,MY,1616358418
Ponta Delgada,37.7333,-25.6667,57.2,82,75,6.91,PT,1616358418
Westport,41.1415,-73.3579,59.0,28,1,5.75,US,1616358418
Zhezkazgan,47.8043,67.7144,30.83,96,100,7.92,KZ,1616358419
Te Anau,-45.4167,167.7167,48.45,93,100,0.56,NZ,1616357948
Bathsheba,13.2167,-59.5167,82.4,54,40,18.41,BB,1616357947
Bubaque,11.2833,-15.8333,76.8,72,0,18.68,GW,1616358073
Itzehoe,53.921,9.5153,39.0,65,100,5.01,DE,1616358420
Yagodnoye,62.55,149.6667,-9.02,80,34,3.09,RU,1616358420
Kutum,14.2,24.6667,75.47,16,100,7.83,SD,1616358087
Olafsvik,64.8945,-23.7142,43.12,91,100,33.2,IS,1616358421
Dongli,23.5656,116.8194,57.2,77,90,8.95,CN,1616358421
Gusinoye Ozero,51.1144,106.2614,26.29,78,100,1.32,RU,1616358422
Rāwatbhāta,24.9333,75.5833,78.1,15,0,5.28,IN,1616358422
Weiz,47.2167,15.6167,34.0,81,85,4.43,AT,1616358423
Port-Gentil,-0.7193,8.7815,78.8,94,75,10.36,GA,1616358083
Pontes e Lacerda,-15.2261,-59.3353,81.34,89,100,3.31,BR,1616358423
Baraguá,21.6967,-78.6328,87.08,46,80,5.08,CU,1616358423
Kulhudhuffushi,6.6221,73.07,82.89,70,27,2.48,MV,1616358424
Lubango,-14.9172,13.4925,60.22,96,99,2.57,AO,1616358425
Manacapuru,-3.2997,-60.6206,80.6,78,75,5.75,BR,1616358425
Qian’an,44.9932,124.0581,27.75,64,0,7.34,CN,1616358425
Bartlesville,36.7473,-95.9808,66.99,42,1,19.57,US,1616358426
Rawson,-43.3002,-65.1023,76.12,29,0,19.89,AR,1616358116
São João da Barra,-21.6403,-41.0511,82.4,65,20,16.11,BR,1616358071
Kruisfontein,-34.0033,24.7314,57.99,85,44,1.01,ZA,1616358094
Carnarvon,-24.8667,113.6333,77.0,88,0,12.66,AU,1616357994
Lindi,-10.0,39.7167,77.0,94,20,8.05,TZ,1616358427
Lianran,24.9227,102.485,43.0,87,90,15.66,CN,1616358427
Lábrea,-7.2586,-64.7981,88.43,55,28,1.66,BR,1616358428
Kozulka,50.0351,23.797,33.8,69,0,4.47,UA,1616358428
Stornoway,58.2093,-6.3865,46.99,81,90,12.66,GB,1616358428
Norman Wells,65.282,-126.8329,-4.0,65,20,4.61,CA,1616357994
Poshekhon'ye,58.4993,39.1353,28.31,96,100,12.73,RU,1616358429
Turaif,31.6725,38.6637,69.8,26,0,9.22,SA,1616358429
Sioux Lookout,50.1001,-91.917,53.6,47,75,12.66,CA,1616358142
Saint-Augustin,51.226,-58.6502,33.26,97,100,13.0,CA,1616358430
Saint-Joseph,-21.3667,55.6167,77.0,88,75,3.44,RE,1616358431
Elk Plain,47.0532,-122.3976,45.0,81,90,4.61,US,1616358431
Lompoc,34.6391,-120.4579,62.6,45,1,17.27,US,1616358411
Paamiut,61.994,-49.6678,22.26,91,97,14.05,GL,1616358432
Kapoeta,4.7717,33.5903,86.4,34,17,12.33,SS,1616358432
Coquimbo,-29.9533,-71.3436,66.2,72,0,11.5,CL,1616358432
Ternate,0.8,127.4,80.67,82,84,4.83,ID,1616358433
Nelson Bay,-32.7167,152.15,66.99,100,90,8.05,AU,1616358433
Atambua,-9.1061,124.8925,74.08,88,56,0.83,ID,1616358434
Kologriv,58.8275,44.3178,25.36,95,100,10.36,RU,1616358434
Yerbogachën,61.2767,108.0108,-17.86,93,100,6.98,RU,1616358434
Plouzané,48.3833,-4.6167,48.2,81,90,5.75,FR,1616358435
Cayenne,4.9333,-52.3333,79.0,89,75,5.75,GF,1616358435
Verkhnyaya Inta,65.9811,60.3094,9.77,89,91,6.35,RU,1616358436
Conde,-7.2597,-34.9075,82.4,74,20,11.5,BR,1616358188
Thinadhoo,0.5333,72.9333,83.05,73,97,8.57,MV,1616358436
Alice Springs,-23.7,133.8833,66.2,100,75,6.91,AU,1616358437
Adrar,20.5022,-10.0711,73.29,16,0,8.3,MR,1616358437
Kungurtug,50.5994,97.5228,18.55,66,100,1.68,RU,1616358437
Lata,40.1629,-8.3327,53.01,73,0,8.99,PT,1616358438
Laas,46.6166,10.7002,51.8,74,0,9.22,IT,1616358438
Ussel,45.55,2.3167,42.01,36,98,3.0,FR,1616358439
Kostomuksha,64.571,30.5767,25.81,93,100,13.73,RU,1616358439
Wajima,37.4,136.9,47.14,61,96,18.25,JP,1616358439
Kirando,-7.4167,30.6,74.35,76,1,6.33,TZ,1616358440
Tūkrah,32.5341,20.5791,60.66,89,7,7.72,LY,1616358440
Medvezh'yegorsk,62.9167,34.4667,26.78,96,91,5.55,RU,1616358200
Makkah al Mukarramah,21.4267,39.8261,78.04,59,0,1.52,SA,1616358368
Tateyama,34.9833,139.8667,57.99,60,99,5.99,JP,1616358441
Lagoa,39.05,-27.9833,58.75,77,100,12.39,PT,1616358441
Bolitoc,15.7395,119.8769,78.57,81,76,4.59,PH,1616358442
Phonhong,18.5007,102.4166,72.37,91,2,1.14,LA,1616358442
Gmina Świecie,53.4095,18.4474,35.01,69,0,1.01,PL,1616358442
Anadyr,64.75,177.4833,-9.0,70,75,8.95,RU,1616358443
Pingzhuang,42.0372,119.2889,31.68,37,0,6.29,CN,1616358443
Māngrol,21.1167,70.1167,75.11,81,0,3.74,IN,1616358444
Havøysund,70.9963,24.6622,30.2,69,75,21.85,NO,1616358444
Verāval,20.9,70.3667,75.49,77,0,6.62,IN,1616358445
Beroroha,-21.6667,45.1667,74.21,90,38,1.52,MG,1616358445
Talara,-4.5772,-81.2719,86.0,58,0,12.66,PE,1616358445
Sobolevo,54.4299,31.8996,27.79,94,100,13.04,RU,1616358446
Tucuruí,-3.7661,-49.6725,83.43,80,92,0.89,BR,1616358446
Ziro,27.6333,93.8333,45.97,83,2,3.53,IN,1616358447
Dymer,50.7865,30.3026,36.0,64,45,6.71,UA,1616358447
Saysain,14.5611,120.3925,78.8,83,75,4.61,PH,1616358447
Ţahţā,26.7693,31.5021,86.0,30,0,4.61,EG,1616358448
Bud,39.447,-86.1758,66.0,24,1,3.44,US,1616358448
Melfi,40.9965,15.6514,34.0,80,90,4.61,IT,1616358449
Teluk Nibung,3.001,99.8164,76.95,86,100,2.8,ID,1616358449
Fuyu,45.1833,124.8167,29.08,61,0,7.14,CN,1616358450
Schwandorf,49.3262,12.1093,37.99,75,90,6.04,DE,1616358450
Bahādurganj,26.2667,87.8167,70.83,24,0,4.07,IN,1616358450
Dingle,10.9995,122.6711,77.77,86,83,8.3,PH,1616358451
Omsukchan,62.5333,155.8,-12.96,77,43,7.31,RU,1616358451
Honningsvåg,70.9821,25.9704,30.2,69,75,21.85,NO,1616358452
San Luis,-33.295,-66.3356,74.39,24,0,7.0,AR,1616358452
Coyhaique,-45.5752,-72.0662,68.0,42,0,6.91,CL,1616358452
Hvide Sande,56.0045,8.1294,39.0,82,94,22.24,DK,1616358453
Dalvik,65.9702,-18.5286,46.4,57,40,19.57,IS,1616358453
Wanparti,16.3667,78.0667,75.61,37,0,4.07,IN,1616358454
Pangnirtung,66.1451,-65.7125,-13.0,70,75,3.44,CA,1616358454
Ruidoso,33.3317,-105.673,64.4,16,1,21.85,US,1616358454
Machilipatnam,16.1667,81.1333,77.85,77,36,6.44,IN,1616358455
Magistral'nyy,56.1725,107.4458,29.23,93,96,4.05,RU,1616358455
Viedma,-40.8135,-62.9967,74.52,20,0,9.4,AR,1616358456
Kiryat Gat,31.61,34.7642,73.0,45,100,11.45,IL,1616358423
Katsuura,35.1333,140.3,57.0,60,99,5.99,JP,1616358456
Vilyuysk,63.7553,121.6247,-16.92,96,100,7.18,RU,1616358457
Port Lincoln,-34.7333,135.8667,68.05,75,7,7.78,AU,1616358457
Mount Gambier,-37.8333,140.7667,64.4,100,75,6.91,AU,1616358457
Aleksandrovskiy Zavod,50.9237,117.9374,19.94,86,100,4.72,RU,1616358458
Half Moon Bay,37.4636,-122.4286,62.01,71,1,17.27,US,1616358458
Hammerfest,70.6634,23.6821,26.6,68,75,12.66,NO,1616358458
Khor,47.8861,134.9464,25.03,95,100,7.07,RU,1616358459
Beidao,34.5686,105.8933,38.21,39,0,2.37,CN,1616358459
Dabat,12.9842,37.765,59.7,24,11,10.2,ET,1616358460
Kailua,21.4022,-157.7394,73.4,64,90,14.97,US,1616358460
Vitim,59.4511,112.5578,-8.28,95,100,5.3,RU,1616358460
Humaitá,-7.5061,-63.0208,84.54,69,65,1.95,BR,1616358461
Sānchor,24.7553,71.7722,74.71,42,0,11.7,IN,1616358461
Denpasar,-8.65,115.2167,82.4,78,20,11.5,ID,1616358462
Man,7.4125,-7.5538,78.06,79,100,3.04,CI,1616358272
Lucea,18.451,-78.1736,82.99,69,20,14.97,JM,1616358462
Chilca,-12.5211,-76.7372,78.8,65,0,6.91,PE,1616358463
Mon,26.75,95.1,67.37,40,0,3.74,IN,1616358463
Huainan,32.6264,116.9969,40.51,47,50,2.77,CN,1616358463
Peniche,39.3558,-9.3811,53.01,74,0,3.0,PT,1616358464
Laï,9.3952,16.2989,91.49,23,96,8.08,TD,1616358464
Ibrā’,22.6906,58.5334,67.53,24,0,2.66,OM,1616358465
Longyearbyen,78.2186,15.6401,15.8,73,40,14.97,SJ,1616358465
Nishihara,26.1842,127.7558,62.6,59,75,24.16,JP,1616358465
‘Ewa Beach,21.3156,-158.0072,75.2,64,90,10.36,US,1616358466
Sinnamary,5.3833,-52.95,80.04,84,91,10.98,GF,1616358466
Forsytheganj,52.6333,29.7333,29.5,84,100,11.65,BY,1616358467
Prince George,53.9166,-122.753,32.0,86,90,16.11,CA,1616358274
Mitsamiouli,-11.3847,43.2844,82.85,73,26,5.84,KM,1616358467
Tuy Hoa,13.0833,109.3,75.13,90,32,11.36,VN,1616358468
Kulachi,31.9286,70.4592,70.09,56,100,7.67,PK,1616358367
Deputatsky,69.3,139.9,-20.88,97,10,1.9,RU,1616358468
Chauk,20.8833,94.8167,78.24,35,20,1.39,MM,1616358469
Naliya,23.2667,68.8333,74.03,86,0,9.95,IN,1616358469
Acapulco de Juárez,16.8634,-99.8901,86.0,70,1,8.05,MX,1616358469
Egvekinot,66.3167,-179.1667,-6.32,95,100,7.11,RU,1616358470
Roald,62.5833,6.1333,39.2,87,75,20.71,NO,1616358470
Ust'-Uda,54.1742,103.0304,26.38,88,100,3.02,RU,1616358471
Wuchang,44.9143,127.15,25.45,79,17,6.64,CN,1616358471
Lorengau,-2.0226,147.2712,82.44,73,19,3.38,PG,1616358471
Dauriya,49.9333,116.8667,23.97,79,100,6.85,RU,1616358472
Diplo,24.4667,69.584,73.27,80,0,9.06,PK,1616358472
Asău,46.4333,26.4,33.01,55,21,4.47,RO,1616358473
Nemuro,43.3236,145.575,36.7,97,100,21.03,JP,1616358473
Muros,42.7762,-9.0603,54.0,62,0,12.46,ES,1616358473
Erenhot,43.6475,111.9767,31.37,29,0,13.24,CN,1616358474
Khani,41.9563,42.9566,44.6,93,90,1.14,GE,1616358474
Gallup,35.5281,-108.7426,59.0,21,1,20.71,US,1616358475
Cherlak,54.155,74.8055,22.46,94,100,9.15,RU,1616358475
Praia da Vitória,38.7333,-27.0667,59.0,82,90,5.57,PT,1616358476
Ucluelet,48.9329,-125.5528,45.0,93,90,11.5,CA,1616358204
Zatoka,46.0725,30.4654,33.8,80,0,2.24,UA,1616358477
Mossamedes,-15.1961,12.1522,72.84,80,67,4.18,AO,1616358477
Poum,-20.2333,164.0167,77.86,76,90,12.12,NC,1616358477
Beloha,-25.1667,45.05,75.33,82,0,3.6,MG,1616358478
Natal,-5.795,-35.2094,84.2,70,40,13.8,BR,1616358478
Calatagan,13.8833,120.65,78.22,84,34,13.15,PH,1616358479
Isla Mujeres,21.2311,-86.731,80.6,57,40,9.22,MX,1616358479
Amursk,50.2261,136.8994,23.4,89,100,9.98,RU,1616358252
Chinsali,-10.5414,32.0816,63.61,92,99,2.98,ZM,1616358480
Vostok,46.4856,135.8833,20.66,97,100,3.33,RU,1616358480
São Gabriel da Cachoeira,-0.1303,-67.0892,89.6,62,20,8.05,BR,1616358480
Barra de Tecoanapa,16.5167,-98.75,85.15,60,0,13.6,MX,1616358481
Sisimiut,66.9395,-53.6735,10.58,88,93,11.25,GL,1616358481
Bonavista,48.6499,-53.1147,36.0,60,27,10.36,CA,1616358482
Shetpe,44.1667,52.1167,38.61,87,100,0.67,KZ,1616358482
Kabinda,-6.1333,24.4833,69.58,89,100,0.81,CD,1616358482
Moussoro,13.6408,16.4901,87.82,10,0,5.19,TD,1616358483
Sarkand,45.41,79.9186,33.69,75,100,1.43,KZ,1616358312
Korsholm,63.1142,21.6822,30.2,47,0,13.8,FI,1616358483
Isangel,-19.55,169.2667,75.2,94,75,11.21,VU,1616358484
Kaeo,-35.1,173.7833,55.99,93,66,1.99,NZ,1616358484
Golden,39.7555,-105.2211,43.0,87,90,6.91,US,1616358483
Abu Kamal,34.4506,40.9171,67.57,30,0,7.9,SY,1616358485
Santa Cruz de la Sierra,-17.8,-63.1667,73.4,83,75,16.11,BO,1616358485
Koulikoro,14.0,-7.75,90.93,15,99,6.02,ML,1616358486
Okha,53.5739,142.9478,19.26,94,100,13.49,RU,1616358486
Tonj,7.2737,28.6822,83.46,57,100,5.97,SS,1616358487
Nānākuli,21.3906,-158.1547,75.2,64,90,10.36,US,1616358487
Susanville,40.4163,-120.653,46.4,27,1,5.75,US,1616358488
Myingyan,21.4667,95.3833,79.45,28,9,2.26,MM,1616358488
Oddur,4.1213,43.8894,82.65,36,0,10.11,SO,1616358489
Tabas,33.5959,56.9244,61.56,25,5,4.34,IR,1616358489
Naze,28.3667,129.4833,55.08,73,92,20.94,JP,1616358489
Ust'-Kulom,61.6864,53.6902,14.31,94,100,6.4,RU,1616358490
Maralal,1.0968,36.698,61.84,74,72,11.21,KE,1616358490
Pacific Grove,36.6177,-121.9166,57.99,67,1,9.22,US,1616358490
Kasempa,-13.4584,25.8338,64.58,96,52,3.94,ZM,1616358491
Flinders,-34.5833,150.8552,69.01,98,100,5.99,AU,1616358491
Hailar,49.2,119.7,22.89,65,21,8.75,CN,1616358492
Yarkovo,57.4028,67.0786,17.58,97,66,4.59,RU,1616358492
Summerville,33.0185,-80.1757,66.99,59,90,24.16,US,1616358321
Lahān,26.7296,86.4951,72.0,20,0,5.23,NP,1616358493
Yugorsk,61.3133,63.3319,9.68,96,68,4.14,RU,1616358493
Namatanai,-3.6667,152.4333,79.29,83,96,10.45,PG,1616358494
Yaan,7.3833,8.5667,89.13,43,100,12.33,NG,1616358494
Madison Heights,42.4859,-83.1052,64.4,16,1,5.75,US,1616358495
Assiut,27.181,31.1837,86.0,42,0,5.21,EG,1616358418
Talaya,61.3833,152.75,-5.03,81,14,6.55,RU,1616358495
Sambava,-14.2667,50.1667,78.58,83,95,8.48,MG,1616358496
Boyuibe,-20.4167,-63.2833,73.4,64,90,4.61,BO,1616358496
Lexington Park,38.2668,-76.4538,64.4,31,20,4.61,US,1616358496
Ust-Nera,64.5667,143.2,-7.29,98,100,4.65,RU,1616358497
Mahibadhoo,3.7833,72.9667,82.83,68,94,5.17,MV,1616358497
Tabuk,17.4189,121.4443,72.54,94,61,1.66,PH,1616358498
San Jose,37.3394,-121.895,64.0,41,20,9.22,US,1616358264
Alofi,-19.0595,-169.9187,77.0,94,90,5.75,NU,1616358498
Alexandria,31.2156,29.9553,69.8,78,40,5.75,EG,1616358251
Boguchany,58.3814,97.4531,30.07,93,98,9.31,RU,1616358499
Columbus,39.9612,-82.9988,64.99,19,1,5.75,US,1616358499
Paita,-5.0892,-81.1144,86.0,58,0,12.66,PE,1616358500
Indramayu,-6.3264,108.32,80.74,80,99,2.82,ID,1616358500
Wolfenbüttel,52.1667,10.55,39.2,75,20,9.22,DE,1616358501
Aginskoye,51.1,114.53,26.1,72,100,6.26,RU,1616358501
Bolaños de Calatrava,38.9069,-3.6635,48.99,54,0,4.0,ES,1616358501
Sur,22.5667,59.5289,76.08,52,0,6.53,OM,1616358502
Jalingo,8.8833,11.3667,89.96,33,100,4.85,NG,1616358502
Rosolini,36.8242,14.9478,48.2,93,75,1.14,IT,1616358503
Yerofey Pavlovich,53.9667,121.9667,11.95,89,100,2.55,RU,1616358503
Olinda,-8.0089,-34.8553,80.6,65,20,9.22,BR,1616358503
Sørland,67.667,12.6934,32.0,80,40,4.61,NO,1616358504
Plettenberg Bay,-34.0527,23.3716,59.95,80,7,4.36,ZA,1616358505
Ahipara,-35.1667,173.1667,60.33,75,0,4.68,NZ,1616358505
Srednekolymsk,67.45,153.6833,-11.61,74,60,4.52,RU,1616358505
Morococha,-11.5997,-76.1411,42.85,79,100,6.62,PE,1616358506
Rocha,-34.4833,-54.3333,68.5,75,81,11.88,UY,1616358206
Santa Inês,-3.6667,-45.38,79.0,91,100,2.21,BR,1616358224
Wawa,9.9022,4.4192,90.05,34,15,0.76,NG,1616358507
Wanning,18.8003,110.3967,68.04,86,100,14.18,CN,1616358507
Arrondissement de Rochefort,45.9167,-1.0,48.2,81,0,9.22,FR,1616358508
Saiha,22.4833,92.9667,66.47,42,78,3.8,IN,1616358508
Bushehr,28.9684,50.8385,62.6,88,0,5.46,IR,1616358508
Bundaberg,-24.85,152.35,77.0,94,90,8.05,AU,1616358509
Karwar,14.8,74.1333,75.88,85,0,5.03,IN,1616358509
Dharampur,20.5333,73.1833,72.23,41,0,2.35,IN,1616358510
Cururupu,-1.8283,-44.8683,80.98,79,96,5.28,BR,1616358510
Bam,29.106,58.357,66.51,18,0,7.23,IR,1616358510
Batouri,4.4333,14.3667,71.6,81,100,1.19,CM,1616358511
Rundu,-17.9333,19.7667,73.56,66,100,2.21,NA,1616358422
Gijang,35.2442,129.2139,41.0,48,20,12.66,KR,1616358511
Saint-Louis,16.3333,-15.0,93.2,17,0,2.3,SN,1616358512
Arrondissement de Narbonne,43.0833,2.8333,53.01,45,100,11.99,FR,1616358512
Borovoy,55.4333,86.0833,32.0,80,90,15.66,RU,1616358512
Canalete,8.6761,-76.2042,83.66,72,36,12.3,CO,1616358513
Kamenka,51.3223,42.7678,21.56,84,48,7.34,RU,1616358513
Kununurra,-15.7667,128.7333,77.0,89,90,3.44,AU,1616358514
Rio Grande,-32.035,-52.0986,75.2,83,75,5.75,BR,1616358384
San Cristobal,7.7669,-72.225,79.63,54,11,3.38,VE,1616358515
Mpanda,-6.3655,31.0409,67.42,80,98,1.3,TZ,1616358515
Ulaanbaatar,47.9077,106.8832,10.4,72,0,2.24,MN,1616358320
Kameshkovo,56.3481,41.0047,26.51,94,100,11.99,RU,1616358516
Muriwai Beach,-36.8167,174.45,62.01,79,0,1.07,NZ,1616358516
